timestamp,station_id,station_name,ec_value_mS_cm,is_synthetic
2024-01-01 00:00:00,DTG001,Cống Vàm Giồng,8.94,True
2024-01-01 01:00:00,DTG001,Cống Vàm Giồng,10.61,True
2024-01-01 02:00:00,DTG001,Cống Vàm Giồng,11.65,True
2024-01-01 03:00:00,DTG001,Cống Vàm Giồng,12.82,True
2024-01-01 04:00:00,DTG001,Cống Vàm Giồng,11.69,True
2024-01-01 05:00:00,DTG001,Cống Vàm Giồng,11.2,True
2024-01-01 06:00:00,DTG001,Cống Vàm Giồng,8.76,True
2024-01-01 07:00:00,DTG001,Cống Vàm Giồng,8.14,True
2024-01-01 08:00:00,DTG001,Cống Vàm Giồng,7.05,True
2024-01-01 09:00:00,DTG001,Cống Vàm Giồng,7.47,True
2024-01-01 10:00:00,DTG001,Cống Vàm Giồng,7.03,True
2024-01-01 11:00:00,DTG001,Cống Vàm Giồng,8.15,True
2024-01-01 12:00:00,DTG001,Cống Vàm Giồng,10.17,True
2024-01-01 13:00:00,DTG001,Cống Vàm Giồng,11.36,True
2024-01-01 14:00:00,DTG001,Cống Vàm Giồng,11.72,True
2024-01-01 15:00:00,DTG001,Cống Vàm Giồng,11.82,True
2024-01-01 16:00:00,DTG001,Cống Vàm Giồng,11.74,True
2024-01-01 17:00:00,DTG001,Cống Vàm Giồng,10.98,True
2024-01-01 18:00:00,DTG001,Cống Vàm Giồng,9.67,True
2024-01-01 19:00:00,DTG001,Cống Vàm Giồng,7.86,True
2024-01-01 20:00:00,DTG001,Cống Vàm Giồng,6.68,True
2024-01-01 21:00:00,DTG001,Cống Vàm Giồng,6.33,True
2024-01-01 22:00:00,DTG001,Cống Vàm Giồng,6.48,True
2024-01-01 23:00:00,DTG001,Cống Vàm Giồng,7.97,True
2024-01-02 00:00:00,DTG001,Cống Vàm Giồng,9.71,True
2024-01-02 01:00:00,DTG001,Cống Vàm Giồng,10.49,True
2024-01-02 02:00:00,DTG001,Cống Vàm Giồng,11.33,True
2024-01-02 03:00:00,DTG001,Cống Vàm Giồng,12.54,True
2024-01-02 04:00:00,DTG001,Cống Vàm Giồng,11.98,True
2024-01-02 05:00:00,DTG001,Cống Vàm Giồng,11.4,True
2024-01-02 06:00:00,DTG001,Cống Vàm Giồng,9.59,True
2024-01-02 07:00:00,DTG001,Cống Vàm Giồng,8.13,True
2024-01-02 08:00:00,DTG001,Cống Vàm Giồng,6.94,True
2024-01-02 09:00:00,DTG001,Cống Vàm Giồng,6.72,True
2024-01-02 10:00:00,DTG001,Cống Vàm Giồng,7.36,True
2024-01-02 11:00:00,DTG001,Cống Vàm Giồng,7.24,True
2024-01-02 12:00:00,DTG001,Cống Vàm Giồng,8.96,True
2024-01-02 13:00:00,DTG001,Cống Vàm Giồng,10.0,True
2024-01-02 14:00:00,DTG001,Cống Vàm Giồng,12.91,True
2024-01-02 15:00:00,DTG001,Cống Vàm Giồng,12.24,True
2024-01-02 16:00:00,DTG001,Cống Vàm Giồng,11.93,True
2024-01-02 17:00:00,DTG001,Cống Vàm Giồng,10.35,True
2024-01-02 18:00:00,DTG001,Cống Vàm Giồng,8.81,True
2024-01-02 19:00:00,DTG001,Cống Vàm Giồng,7.72,True
2024-01-02 20:00:00,DTG001,Cống Vàm Giồng,6.9,True
2024-01-02 21:00:00,DTG001,Cống Vàm Giồng,7.35,True
2024-01-02 22:00:00,DTG001,Cống Vàm Giồng,6.65,True
2024-01-02 23:00:00,DTG001,Cống Vàm Giồng,7.89,True
2024-01-03 00:00:00,DTG001,Cống Vàm Giồng,8.27,True
2024-01-03 01:00:00,DTG001,Cống Vàm Giồng,11.13,True
2024-01-03 02:00:00,DTG001,Cống Vàm Giồng,11.39,True
2024-01-03 03:00:00,DTG001,Cống Vàm Giồng,13.05,True
2024-01-03 04:00:00,DTG001,Cống Vàm Giồng,11.76,True
2024-01-03 05:00:00,DTG001,Cống Vàm Giồng,10.6,True
2024-01-03 06:00:00,DTG001,Cống Vàm Giồng,8.78,True
2024-01-03 07:00:00,DTG001,Cống Vàm Giồng,7.99,True
2024-01-03 08:00:00,DTG001,Cống Vàm Giồng,7.05,True
2024-01-03 09:00:00,DTG001,Cống Vàm Giồng,6.71,True
2024-01-03 10:00:00,DTG001,Cống Vàm Giồng,7.16,True
2024-01-03 11:00:00,DTG001,Cống Vàm Giồng,8.9,True
2024-01-03 12:00:00,DTG001,Cống Vàm Giồng,9.49,True
2024-01-03 13:00:00,DTG001,Cống Vàm Giồng,10.82,True
2024-01-03 14:00:00,DTG001,Cống Vàm Giồng,11.51,True
2024-01-03 15:00:00,DTG001,Cống Vàm Giồng,12.62,True
2024-01-03 16:00:00,DTG001,Cống Vàm Giồng,11.12,True
2024-01-03 17:00:00,DTG001,Cống Vàm Giồng,10.3,True
2024-01-03 18:00:00,DTG001,Cống Vàm Giồng,9.2,True
2024-01-03 19:00:00,DTG001,Cống Vàm Giồng,7.35,True
2024-01-03 20:00:00,DTG001,Cống Vàm Giồng,8.07,True
2024-01-03 21:00:00,DTG001,Cống Vàm Giồng,6.23,True
2024-01-03 22:00:00,DTG001,Cống Vàm Giồng,7.28,True
2024-01-03 23:00:00,DTG001,Cống Vàm Giồng,8.68,True
2024-01-04 00:00:00,DTG001,Cống Vàm Giồng,8.84,True
2024-01-04 01:00:00,DTG001,Cống Vàm Giồng,11.58,True
2024-01-04 02:00:00,DTG001,Cống Vàm Giồng,11.2,True
2024-01-04 03:00:00,DTG001,Cống Vàm Giồng,12.05,True
2024-01-04 04:00:00,DTG001,Cống Vàm Giồng,12.24,True
2024-01-04 05:00:00,DTG001,Cống Vàm Giồng,11.29,True
2024-01-04 06:00:00,DTG001,Cống Vàm Giồng,9.14,True
2024-01-04 07:00:00,DTG001,Cống Vàm Giồng,7.77,True
2024-01-04 08:00:00,DTG001,Cống Vàm Giồng,7.26,True
2024-01-04 09:00:00,DTG001,Cống Vàm Giồng,6.86,True
2024-01-04 10:00:00,DTG001,Cống Vàm Giồng,6.93,True
2024-01-04 11:00:00,DTG001,Cống Vàm Giồng,8.84,True
2024-01-04 12:00:00,DTG001,Cống Vàm Giồng,9.5,True
2024-01-04 13:00:00,DTG001,Cống Vàm Giồng,10.4,True
2024-01-04 14:00:00,DTG001,Cống Vàm Giồng,12.01,True
2024-01-04 15:00:00,DTG001,Cống Vàm Giồng,12.85,True
2024-01-04 16:00:00,DTG001,Cống Vàm Giồng,11.96,True
2024-01-04 17:00:00,DTG001,Cống Vàm Giồng,10.87,True
2024-01-04 18:00:00,DTG001,Cống Vàm Giồng,8.97,True
2024-01-04 19:00:00,DTG001,Cống Vàm Giồng,8.0,True
2024-01-04 20:00:00,DTG001,Cống Vàm Giồng,6.86,True
2024-01-04 21:00:00,DTG001,Cống Vàm Giồng,5.8,True
2024-01-04 22:00:00,DTG001,Cống Vàm Giồng,7.05,True
2024-01-04 23:00:00,DTG001,Cống Vàm Giồng,7.3,True
2024-01-05 00:00:00,DTG001,Cống Vàm Giồng,9.08,True
2024-01-05 01:00:00,DTG001,Cống Vàm Giồng,10.7,True
2024-01-05 02:00:00,DTG001,Cống Vàm Giồng,12.55,True
2024-01-05 03:00:00,DTG001,Cống Vàm Giồng,12.9,True
2024-01-05 04:00:00,DTG001,Cống Vàm Giồng,11.81,True
2024-01-05 05:00:00,DTG001,Cống Vàm Giồng,11.21,True
2024-01-05 06:00:00,DTG001,Cống Vàm Giồng,9.51,True
2024-01-05 07:00:00,DTG001,Cống Vàm Giồng,7.73,True
2024-01-05 08:00:00,DTG001,Cống Vàm Giồng,6.67,True
2024-01-05 09:00:00,DTG001,Cống Vàm Giồng,7.04,True
2024-01-05 10:00:00,DTG001,Cống Vàm Giồng,7.53,True
2024-01-05 11:00:00,DTG001,Cống Vàm Giồng,7.14,True
2024-01-05 12:00:00,DTG001,Cống Vàm Giồng,10.14,True
2024-01-05 13:00:00,DTG001,Cống Vàm Giồng,10.69,True
